nationality,nationality_index,split,surname,no_accent,no_apostroph
Irish,1,train,Ceallachan,Ceallachan,Ceallachan
Irish,1,train,Ahearn,Ahearn,Ahearn
Irish,1,train,O'Byrne,O'Byrne,O Byrne
Irish,1,train,Cathain,Cathain,Cathain
Irish,1,train,Kelly,Kelly,Kelly
Irish,1,train,Riain,Riain,Riain
Irish,1,train,Macclelland,Macclelland,Macclelland
Irish,1,train,Bradan,Bradan,Bradan
Irish,1,train,Tadhg,Tadhg,Tadhg
Irish,1,train,O'Donnell,O'Donnell,O Donnell
Irish,1,train,Cormac,Cormac,Cormac
Irish,1,train,O'Shea,O'Shea,O Shea
Irish,1,train,Quigley,Quigley,Quigley
Irish,1,train,Farrell,Farrell,Farrell
Irish,1,train,O'Hannigain,O'Hannigain,O Hannigain
Irish,1,train,Treasach,Treasach,Treasach
Irish,1,train,Niall,Niall,Niall
Irish,1,train,Gerald,Gerald,Gerald
Irish,1,train,Braden,Braden,Braden
Irish,1,train,O'Neal,O'Neal,O Neal
Irish,1,train,Monahan,Monahan,Monahan
Irish,1,train,Mochan,Mochan,Mochan
Irish,1,train,O'Hanlon,O'Hanlon,O Hanlon
Irish,1,train,Mcguire,Mcguire,Mcguire
Irish,1,train,Duncan,Duncan,Duncan
Irish,1,train,Cennetig,Cennetig,Cennetig
Irish,1,train,Naoimhin,Naoimhin,Naoimhin
Irish,1,train,Cleirigh,Cleirigh,Cleirigh
Irish,1,train,Aonghuis,Aonghuis,Aonghuis
Irish,1,train,Malone,Malone,Malone
Irish,1,train,Whelan,Whelan,Whelan
Irish,1,train,O'Mahoney,O'Mahoney,O Mahoney
Irish,1,train,O'Connor,O'Connor,O Connor
Irish,1,train,Tracey,Tracey,Tracey
Irish,1,train,Simon,Simon,Simon
Irish,1,train,Flanagan,Flanagan,Flanagan
Irish,1,train,Rodagh,Rodagh,Rodagh
Irish,1,train,Names,Names,Names
Irish,1,train,Nevin,Nevin,Nevin
Irish,1,train,William,William,William
Irish,1,train,Macdermott,Macdermott,Macdermott
